internalTaxonId,scientificName,name,language,main
22693621,Haematopus meadewaldoi,Canarian Black Oystercatcher,English,FALSE
22693621,Haematopus meadewaldoi,Canarian Oystercatcher,English,TRUE
22694856,Pinguinus impennis,Grand pingouin,French,FALSE
22694856,Pinguinus impennis,Great Auk,English,TRUE
22710284,Oenanthe lugentoides,Arabian Wheatear,English,TRUE
216912565,Alaudala cheleensis,Asian Short-toed Lark,English,TRUE
244519627,Hylexetastes uniformis,Uniform Woodcreeper,English,TRUE
22683572,Tanysiptera hydrocharis,Little Paradise Kingfisher,English,FALSE
22683572,Tanysiptera hydrocharis,Little Paradise-Kingfisher,English,FALSE
22683572,Tanysiptera hydrocharis,Little Paradise-kingfisher,English,TRUE
22726585,Todiramphus reichenbachii,Pohnpei Kingfisher,English,TRUE
22705675,Cyanolyca mirabilis,White-throated Jay,English,TRUE
22682926,Eurystomus azureus,Azure Dollarbird,English,FALSE
22682926,Eurystomus azureus,Purple Roller,English,FALSE
22682926,Eurystomus azureus,Azure Dollarbird,English,TRUE
22688651,Otus elegans,Elegant Scops-Owl,English,FALSE
22688651,Otus elegans,Ryukyu Scops Owl,English,FALSE
22688651,Otus elegans,Ryukyu Scops-owl,English,TRUE
61786867,Otus jolandae,Rinjani Scops-owl,English,TRUE
22715770,Liocichla omeiensis,Mount Omei Liocichla,English,FALSE
22715770,Liocichla omeiensis,Omei Shan Liocichla,English,FALSE
22715770,Liocichla omeiensis,Emei Shan Liocichla,English,TRUE
22703671,Sericulus bakeri,Adelbert Bowerbird,English,FALSE
22703671,Sericulus bakeri,Adelbert Regent Bowerbird,English,FALSE
22703671,Sericulus bakeri,Fire-maned Bowerbird,English,TRUE
22713185,Hypsipetes siquijorensis,Mottle-breasted Bulbul,English,FALSE
22713185,Hypsipetes siquijorensis,Streak-breasted Bulbul,English,TRUE
22697274,Zonerodius heliosylus,Forest Bittern,English,TRUE
22719008,Ploceus hypoxanthus,Asian Golden Weaver,English,TRUE
22722219,Kleinothraupis parodii,Parodi's Tanager,English,FALSE
22722219,Kleinothraupis parodii,Parodi's Hemispingus,English,TRUE
22710101,Phoenicurus bicolor,Luzon Redstart,English,FALSE
22710101,Phoenicurus bicolor,Luzon Water Redstart,English,FALSE
22710101,Phoenicurus bicolor,Luzon Water-Redstart,English,FALSE
22710101,Phoenicurus bicolor,Philippine Water-redstart,English,FALSE
22710101,Phoenicurus bicolor,Luzon Water-redstart,English,TRUE
22698246,Puffinus opisthomelas,Pardela culinegra,Spanish; Castilian,FALSE
22698246,Puffinus opisthomelas,Black-vented Shearwater,English,TRUE
22684795,Cacatua haematuropygia,Red-vented Cockatoo,English,FALSE
22684795,Cacatua haematuropygia,Cacatúa de Cola Sangrante,Spanish; Castilian,FALSE
22684795,Cacatua haematuropygia,Philippine Cockatoo,English,TRUE
22698738,Sarcophanops steerii,Mindanao Broadbill,English,FALSE
22698738,Sarcophanops steerii,Wattled Broadbill,English,FALSE
22698738,Sarcophanops steerii,Mindanao Wattled Broadbill,English,TRUE
22693190,Numenius arquata,Curlew,English,FALSE
22693190,Numenius arquata,Courlis cendré,French,FALSE
22693190,Numenius arquata," كروان الماء, كروان الماء الكبير",Arabic,FALSE
22693190,Numenius arquata,Eurasian Curlew,English,TRUE
22697604,Pelecanus philippensis,Grey Pelican,English,FALSE
22697604,Pelecanus philippensis,Spot-billed Pelican,English,TRUE
22693604,Esacus recurvirostris,Great Stone-curlew,English,FALSE
22693604,Esacus recurvirostris,Great Thick-knee,English,TRUE
22692303,Rallicula mayri,Mayr's Forest Crake,English,FALSE
22692303,Rallicula mayri,Mayr's Forest-rail,English,FALSE
22692303,Rallicula mayri,Mayr's Forest-Rail,English,FALSE
22692303,Rallicula mayri,Mayr's Forest Rail,English,TRUE
22718134,Melanocharis arfakiana,Obscure Berrypecker,English,TRUE
22689568,Aegotheles wallacii,Wallace's Owlet-Nightjar,English,FALSE
22689568,Aegotheles wallacii,Wallace's Owlet-nightjar,English,TRUE
22678114,Casuarius unappendiculatus,Northern Cassowary,English,TRUE
22721182,Spizella wortheni,Worthen's Sparrow,English,TRUE
22683282,Todiramphus nigrocyaneus,Blue-black Kingfisher,English,TRUE
22692785,Megacrex inepta,Papuan Flightless Rail,English,FALSE
22692785,Megacrex inepta,New Guinea Flightless Rail,English,TRUE
22683935,Cacomantis aeruginosus,Moluccan Cuckoo,English,TRUE
22695991,Morphnus guianensis,Guianan Crested Eagle,English,FALSE
22695991,Morphnus guianensis,Aguila Crestada,Spanish; Castilian,FALSE
22695991,Morphnus guianensis,Aguila Monera,Spanish; Castilian,FALSE
22695991,Morphnus guianensis,Arpía Menor,Spanish; Castilian,FALSE
22695991,Morphnus guianensis,Crested Eagle,English,TRUE
22690201,Columba palumboides,Andaman Wood Pigeon,English,FALSE
22690201,Columba palumboides,Andaman Wood-Pigeon,English,FALSE
22690201,Columba palumboides,Andaman Woodpigeon,English,TRUE
22726655,Ceyx gentianus,San Cristobal Dwarf-kingfisher,English,TRUE
22706151,Epimachus fastosus,Black Sicklebill,English,TRUE
22688573,Otus balli,Andaman Scops Owl,English,FALSE
22688573,Otus balli,Andaman Scops-Owl,English,FALSE
22688573,Otus balli,Autillo de Andamán,Spanish; Castilian,FALSE
22688573,Otus balli,Andaman Scops-owl,English,TRUE
22719374,Cryptospiza shelleyi,Shelley's Crimson-wing,English,FALSE
22719374,Cryptospiza shelleyi,Bengali de Shelley,French,FALSE
22719374,Cryptospiza shelleyi,Shelley's Crimsonwing,English,TRUE
22709276,Fraseria tessmanni,Gobemouche de Tessmann,French,FALSE
22709276,Fraseria tessmanni,Tessmann's Flycatcher,English,TRUE
22717008,Mirafra cheniana,Latakoo Lark,English,FALSE
22717008,Mirafra cheniana,Alouette mélodieuse,French,FALSE
22717008,Mirafra cheniana,Melodious Lark,English,TRUE
22689490,Uroglaux dimorpha,Papuan Boobook,English,FALSE
22689490,Uroglaux dimorpha,Papuan Hawk-Owl,English,FALSE
22689490,Uroglaux dimorpha,Búho Aguilucho de Neuva Guinea,Spanish; Castilian,FALSE
22689490,Uroglaux dimorpha,Nínox Halcón,Spanish; Castilian,FALSE
22689490,Uroglaux dimorpha,Papuan Hawk-owl,English,TRUE
22717356,Spizocorys sclateri,Alouette de Sclater,French,FALSE
22717356,Spizocorys sclateri,Sclater's Lark,English,TRUE
22692311,Rallina canningi,Andaman Crake,English,TRUE
22717197,Eremopterix australis,Black-eared Sparrow-Lark,English,FALSE
22717197,Eremopterix australis,Alouette-moineau à oreillons noirs,French,FALSE
22717197,Eremopterix australis,Black-eared Sparrow-lark,English,TRUE
22678795,Ptilopachus nahani,Francolin de Nahan,French,FALSE
22678795,Ptilopachus nahani,Nahan's Partridge,English,TRUE
22689704,Nyctiprogne vielliardi,Bahian Nighthawk,English,FALSE
22689704,Nyctiprogne vielliardi,Bahian Nighthawk,English,TRUE
22690549,Macropygia rufipennis,Andaman Cuckoo-dove,English,FALSE
22690549,Macropygia rufipennis,Andaman Cuckoo-Dove,English,TRUE
22680910,Campethera notata,Pic tigré,French,FALSE
22680910,Campethera notata,Knysna Woodpecker,English,TRUE
22725493,Ninox spilonotus,Romblon Boobook,English,TRUE
45449328,Athene granti,Guadalcanal Boobook,English,FALSE
45449328,Athene granti,Guadalcanal Owl,English,TRUE
22689420,Ninox affinis,Andaman Hawk-Owl,English,FALSE
22689420,Ninox affinis,Nínox de Andamán,Spanish; Castilian,FALSE
22689420,Ninox affinis,Andaman Boobook,English,TRUE
22684184,Coua verreauxi,Coua de Verreaux,French,FALSE
22684184,Coua verreauxi,Verreaux's Coua,English,TRUE
22692000,Eupodotis caerulescens,Blue Korhaan,English,FALSE
22692000,Eupodotis caerulescens,Outarde plombée,French,FALSE
22692000,Eupodotis caerulescens,Sisón Azul,Spanish; Castilian,FALSE
22692000,Eupodotis caerulescens,Sisón Azulado,Spanish; Castilian,FALSE
22692000,Eupodotis caerulescens,Blue Bustard,English,TRUE
22724585,Otus moheliensis,Moheli Scops Owl,English,FALSE
22724585,Otus moheliensis,Autillo de Moheli,Spanish; Castilian,FALSE
22724585,Otus moheliensis,Moheli Scops-owl,English,TRUE
22687939,Eriocnemis mirabilis,Colorful Puffleg,English,FALSE
22687939,Eriocnemis mirabilis,Calzadito Admirable,Spanish; Castilian,FALSE
22687939,Eriocnemis mirabilis,Colorful Puffleg,English,TRUE
22699031,Todirostrum viridanum,Maracaibo Tody-Flycatcher,English,FALSE
22699031,Todirostrum viridanum,Maracaibo Tody-flycatcher,English,TRUE
22724610,Herpsilochmus gentryi,Ancient Antwren,English,TRUE
22702334,Synallaxis tithys,Blackish-headed Spinetail,English,TRUE
22702344,Synallaxis hellmayri,Red-shouldered Spinetail,English,TRUE
22686296,Amazona brasiliensis,Red-tailed Parrot,English,FALSE
22686296,Amazona brasiliensis,Amazona Colirroja,Spanish; Castilian,FALSE
22686296,Amazona brasiliensis,Loro Cariazul,Spanish; Castilian,FALSE
22686296,Amazona brasiliensis,Papagayo de Cara Roja,Spanish; Castilian,FALSE
22686296,Amazona brasiliensis,Red-tailed Amazon,English,TRUE
