assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
69555490,22693621,Haematopus meadewaldoi,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,HAEMATOPODIDAE,Haematopus,meadewaldoi,,,,"Bannerman, 1913",Extinct,,3.1,,Europe
69555689,22694856,Pinguinus impennis,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,ALCIDAE,Pinguinus,impennis,,,,"(Linnaeus, 1758)",Extinct,,3.1,,Europe
94241877,22710284,Oenanthe lugentoides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Oenanthe,lugentoides,,,,"(Seebohm, 1881)",Least Concern,,3.1,Stable,Global
94527748,216912565,Alaudala cheleensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ALAUDIDAE,Alaudala,cheleensis,,,,"Swinhoe, 1871",Least Concern,,3.1,Decreasing,Global
95009579,244519627,Hylexetastes uniformis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Hylexetastes,uniformis,,,,"Hellmayr, 1909",Vulnerable,A2c+4c,3.1,Decreasing,Global
116889286,22683572,Tanysiptera hydrocharis,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Tanysiptera,hydrocharis,,,,"Gray, 1858",Data Deficient,,3.1,Unknown,Global
116969455,22726585,Todiramphus reichenbachii,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Todiramphus,reichenbachii,,,,"Hartlaub, 1852",Vulnerable,D2,3.1,Decreasing,Global
116998688,22705675,Cyanolyca mirabilis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Cyanolyca,mirabilis,,,,"Nelson, 1903",Vulnerable,A2c+3c+4c,3.1,Decreasing,Global
117000326,22682926,Eurystomus azureus,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,CORACIIDAE,Eurystomus,azureus,,,,"Gray, 1860",Near Threatened,C1,3.1,Decreasing,Global
117001277,22688651,Otus elegans,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Otus,elegans,,,,"(Cassin, 1852)",Near Threatened,"B2ab(ii,iii,v)",3.1,Decreasing,Global
117002556,61786867,Otus jolandae,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Otus,jolandae,,,,"Sangster, King, Verbelen &amp; Trainor, 2013",Near Threatened,C2a(ii),3.1,Stable,Global
117063025,22715770,Liocichla omeiensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Liocichla,omeiensis,,,,"Riley, 1926",Vulnerable,"B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
117100558,22703671,Sericulus bakeri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PTILONORHYNCHIDAE,Sericulus,bakeri,,,,"(Chapin, 1929)",Near Threatened,C2a(ii),3.1,Stable,Global
117107155,22713185,Hypsipetes siquijorensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PYCNONOTIDAE,Hypsipetes,siquijorensis,,,,"(Steere, 1890)",Endangered,A3c+4c,3.1,Decreasing,Global
117210228,22697274,Zonerodius heliosylus,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,ARDEIDAE,Zonerodius,heliosylus,,,,"(Lesson, 1828)",Near Threatened,C1,3.1,Decreasing,Global
117215652,22719008,Ploceus hypoxanthus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PLOCEIDAE,Ploceus,hypoxanthus,,,,"(Sparrman, 1788)",Near Threatened,A2bcd+3bcd+4bcd,3.1,Decreasing,Global
117230722,22722219,Kleinothraupis parodii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Kleinothraupis,parodii,,,,"Weske & Terborgh, 1974",Near Threatened,A4c,3.1,Decreasing,Global
117236655,22710101,Phoenicurus bicolor,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Phoenicurus,bicolor,,,,"(Ogilvie-Grant, 1894)",Near Threatened,C1+2a(i),3.1,Decreasing,Global
117364166,22698246,Puffinus opisthomelas,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Puffinus,opisthomelas,,,,"Coues, 1864",Near Threatened,"A2cde; B2b(ii,iii)",3.1,Stable,Global
117578604,22684795,Cacatua haematuropygia,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,CACATUIDAE,Cacatua,haematuropygia,,,,"(Müller, 1776)",Critically Endangered,A2bcd,3.1,Decreasing,Global
117597507,22698738,Sarcophanops steerii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EURYLAIMIDAE,Sarcophanops,steerii,,,,"(Sharpe, 1876)",Vulnerable,C2a(i),3.1,Decreasing,Global
