internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22693621,Haematopus meadewaldoi,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,meadewaldoi,,,,,"Bannerman, 1913",
22694856,Pinguinus impennis,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,,,,,"(Linnaeus, 1758)",
22710284,Oenanthe lugentoides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Oenanthe,lugentoides,,,,,"(Seebohm, 1881)","Previously treated with O. lugentoides and O. lugens as O. lugens (del Hoyo and Collar 2016), before which it was treated as a separate species following AERC TAC (2003); Cramp et al. (1977-1994); Dowsett and Forbes-Watson (1993). Differs from both those species genetically (Schweizer and Burri 2019), and in smaller size (allow 2), deeper black coloration (in all cases except O. lugens warriae), more extensive black on sides (in all cases except O. lugens warriae), less extensive white on nape (in all cases except O. lugens warriae), narrower white on rump &amp; uppertail (with broader black terminal tail-band) (3), and smaller white patch on upperwing in flight (2). Two subspecies recognised."
216912565,Alaudala cheleensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Alaudala,cheleensis,,,,,"Swinhoe, 1871","Calandrella rufescens, including heinei group (AERC TAC [2003]; Cramp et al. [1977-1994]; Dowsett and Forbes-Watson [1993]; Sibley and Monroe [1990, 1993]) and C. cheleensis (Sibley &amp; Monroe [1990, 1993]) previously lumped into Alaudala rufescens (Hoyo and Collar 2016). However, Ghorbani et al. (2020) and Alström et al. (2021) used an integrative approach to assess taxonomic limits within the Lesser Short-toed Lark Alaudala rufescens complex, combining data on genetics, morphology, songs, behaviour and bioclimatic preferences. Three clades emerge with strong support for species-level recognition. These are the western Mediterranean Short-toed Lark A. rufescens, a central Turkestan Short-toed Lark A. heinei, and an eastern Asian Short-toed Lark A. cheleensis. Birds from Transbaikalia named as subspecies obscura, but indistinguishable from cheleensis; others from Tuva Republic and NW Mongolia recognised as tuvinica. Forms tangutica, seebohmi, beicki and stegmanni are treated as synonyms of kukunoorensis after Donald and Alström (in prep.). In the past, species sometimes listed under older name pispoletta, but precise identity of this name is uncertain. Four subspecies currently recognised."
244519627,Hylexetastes uniformis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Hylexetastes,uniformis,,,,,"Hellmayr, 1909","Hylexetastes perrotii and H. uniformis were previously lumped as H. perrotii (del Hoyo and Collar 2016) and prior to that split into Hylexetastes perrotii (Ridgely and Tudor 1994), H. uniformis (Ridgely and Tudor 1994) and H. brigidai (da Silva et al. 1995). H. uniformis again regarded as a full species, with brigidai as a subspecies, following the genetic analyses of Azuaje-Rodríguez et al. (2020), who showed that despite close similarities in vocalisations, the genus is composed of three major lineages with diagnostic plumage differences (da Silva et al. 1995, Derryberry et al. 2012): perrotii, stresemanni, and uniformis. Two subspecies recognised."
22683572,Tanysiptera hydrocharis,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Tanysiptera,hydrocharis,,,,,"Gray, 1858",
22726585,Todiramphus reichenbachii,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,reichenbachii,,,,,"Hartlaub, 1852","Todiramphus cinnamominus, T. pelewensis and T. reichenbachii (del Hoyo and Collar 2014) were previously lumped as T. cinnamominus following Sibley and Monroe (1990, 1993)."
22705675,Cyanolyca mirabilis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanolyca,mirabilis,,,,,"Nelson, 1903",
22682926,Eurystomus azureus,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,CORACIIDAE,Eurystomus,azureus,,,,,"Gray, 1860",
22688651,Otus elegans,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,elegans,,,,,"(Cassin, 1852)",
61786867,Otus jolandae,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,jolandae,,,,,"Sangster, King, Verbelen &amp; Trainor, 2013",Otus jolandae (del Hoyo and Collar 2014) was newly described by Sangster et al. (2013).
22715770,Liocichla omeiensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Liocichla,omeiensis,,,,,"Riley, 1926",
22703671,Sericulus bakeri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Sericulus,bakeri,,,,,"(Chapin, 1929)",
22713185,Hypsipetes siquijorensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Hypsipetes,siquijorensis,,,,,"(Steere, 1890)",Hypsipetes siquijorensis (del Hoyo and Collar 2016) was previously listed as Ixos siquijorensis.  
22697274,Zonerodius heliosylus,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Zonerodius,heliosylus,,,,,"(Lesson, 1828)",
22719008,Ploceus hypoxanthus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PLOCEIDAE,Ploceus,hypoxanthus,,,,,"(Sparrman, 1788)",
22722219,Kleinothraupis parodii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Kleinothraupis,parodii,,,,,"Weske & Terborgh, 1974","Kleinothraupis parodii (del Hoyo and Collar 2016) was previously placed in the genus Hemispingus following SACC (2005 &amp; updates); Sibley &amp; Monroe (1990, 1993); Stotz et al. (1996).  "
22710101,Phoenicurus bicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Phoenicurus,bicolor,,,,,"(Ogilvie-Grant, 1894)","Phoenicurus bicolor (del Hoyo and Collar 2016) was previously placed in the genus Rhyacornis following Sibley &amp; Monroe (1990, 1993).  "
22698246,Puffinus opisthomelas,ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,opisthomelas,,,,,"Coues, 1864",
22684795,Cacatua haematuropygia,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Cacatua,haematuropygia,,,,,"(Müller, 1776)","Birds of Polillo, supposedly larger, occasionally separated as subspecies mcgregori, but doubtfully valid. Monotypic."
22698738,Sarcophanops steerii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,EURYLAIMIDAE,Sarcophanops,steerii,,,,,"(Sharpe, 1876)",Sarcophanops steerii (del Hoyo and Collar 2016) was previously listed as Eurylaimus steerii.  
22693190,Numenius arquata,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius,arquata,,,,,"(Linnaeus, 1758)",
22697604,Pelecanus philippensis,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PELECANIDAE,Pelecanus,philippensis,,,,,"Gmelin, 1789",
22693604,Esacus recurvirostris,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,,,,,"(Cuvier, 1829)",
22692303,Rallicula mayri,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallicula,mayri,,,,,"Hartert, 1930",Rallicula mayri (del Hoyo and Collar 2014) was previously placed in the genus Rallina.
