internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22693621,Haematopus meadewaldoi,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,meadewaldoi,,,,,"Bannerman, 1913",
22694856,Pinguinus impennis,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,,,,,"(Linnaeus, 1758)",
22710284,Oenanthe lugentoides,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Oenanthe,lugentoides,,,,,"(Seebohm, 1881)","Previously treated with<em>&#160;O. lugentoides&#160;</em>and&#160;<em>O. lugens&#160;</em>as<em>&#160;O. lugens</em>&#160;(del Hoyo and Collar 2016), before which it was treated as a separate species following&#160;AERC TAC (2003); Cramp<em> et al.</em> (1977-1994); Dowsett and Forbes-Watson (1993). Differs from both those species genetically (Schweizer and Burri 2019), and in smaller size (allow 2), deeper black coloration (in all cases except <em>O. lugens warriae</em>), more extensive black on sides (in all cases except <em>O. lugens warriae</em>), less extensive white on nape (in all cases except <em>O. lugens warriae</em>), narrower white on rump &amp; uppertail (with broader black terminal tail-band) (3), and smaller white patch on upperwing in flight (2). Two subspecies recognised."
216912565,Alaudala cheleensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Alaudala,cheleensis,,,,,"Swinhoe, 1871","<em>Calandrella rufescens</em>, including <em>heinei</em> group (AERC TAC [2003]; Cramp <em>et al. </em>[1977-1994]; Dowsett and Forbes-Watson [1993]; Sibley and Monroe [1990, 1993]) and <em>C. cheleensis</em> (Sibley &amp; Monroe [1990, 1993]) previously lumped into <em>Alaudala rufescens</em> (Hoyo and Collar 2016). However, Ghorbani<em> et al.</em> (2020) and Alström <em>et al.</em> (2021) used an integrative approach to assess taxonomic limits within the Lesser Short-toed Lark <em>Alaudala rufescens</em> complex, combining data on genetics, morphology, songs, behaviour and bioclimatic preferences. Three clades emerge with strong support for species-level recognition. These are the western Mediterranean Short-toed Lark <em>A. rufescens</em>, a central Turkestan Short-toed Lark <em>A. heinei</em>, and an eastern Asian Short-toed Lark <em>A. cheleensis</em>. Birds from Transbaikalia named as subspecies <em>obscura</em>, but indistinguishable from <em>cheleensis</em>; others from Tuva Republic and NW Mongolia recognised as <em>tuvinica</em>. Forms&#160;<em>tangutica</em>, <em>seebohmi</em>, <em>beicki</em> and <em>stegmanni</em>&#160;are treated as synonyms of <em>kukunoorensis </em>after Donald and&#160;Alström (in prep.).&#160;In the past, species sometimes listed under older name <em>pispoletta</em>, but precise identity of this name is uncertain. Four subspecies currently recognised."
244519627,Hylexetastes uniformis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Hylexetastes,uniformis,,,,,"Hellmayr, 1909","<em>Hylexetastes perrotii</em> and <em>H. uniformis</em> were previously lumped as <em>H. perrotii</em> (del Hoyo and Collar 2016) and prior to that split into <em>Hylexetastes perrotii</em> (Ridgely and Tudor 1994), <em>H. uniformis</em> (Ridgely and Tudor 1994) and <em>H. brigidai</em> (da Silva <em>et al.</em>&#160;1995). <em>H. uniformis</em> again regarded as a full species, with <em>brigidai</em>&#160;as a subspecies, following the genetic analyses of Azuaje-Rodríguez <em>et al.</em> (2020), who showed that despite close similarities in vocalisations, the genus is composed of three major lineages with diagnostic plumage differences (da Silva <em>et al.&#160;</em>1995, Derryberry <em>et al.</em> 2012): <em>perrotii</em>, <em>stresemanni</em>, and <em>uniformis</em>. Two subspecies recognised."
22683572,Tanysiptera hydrocharis,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Tanysiptera,hydrocharis,,,,,"Gray, 1858",
22726585,Todiramphus reichenbachii,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,reichenbachii,,,,,"Hartlaub, 1852","<p><em>Todiramphus cinnamominus, T. pelewensis&#160;</em>and<em>&#160;T. reichenbachii&#160;</em>(del Hoyo and Collar 2014) were previously lumped as<em>&#160;T. cinnamominus&#160;</em>following Sibley and Monroe (1990, 1993).</p>"
22705675,Cyanolyca mirabilis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Cyanolyca,mirabilis,,,,,"Nelson, 1903",
22682926,Eurystomus azureus,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,CORACIIDAE,Eurystomus,azureus,,,,,"Gray, 1860",
22688651,Otus elegans,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,elegans,,,,,"(Cassin, 1852)",
61786867,Otus jolandae,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,jolandae,,,,,"Sangster, King, Verbelen &amp; Trainor, 2013",Otus jolandae (del Hoyo and Collar 2014) was newly described by Sangster <em>et al.</em> (2013).
22715770,Liocichla omeiensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,LEIOTRICHIDAE,Liocichla,omeiensis,,,,,"Riley, 1926",
22703671,Sericulus bakeri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PTILONORHYNCHIDAE,Sericulus,bakeri,,,,,"(Chapin, 1929)",
22713185,Hypsipetes siquijorensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Hypsipetes,siquijorensis,,,,,"(Steere, 1890)",<p><em>Hypsipetes siquijorensis </em>(del Hoyo and Collar 2016) was previously listed as <em>Ixos siquijorensis</em>.</p>  <p>&#160;</p>
22697274,Zonerodius heliosylus,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Zonerodius,heliosylus,,,,,"(Lesson, 1828)",
22719008,Ploceus hypoxanthus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PLOCEIDAE,Ploceus,hypoxanthus,,,,,"(Sparrman, 1788)",
22722219,Kleinothraupis parodii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Kleinothraupis,parodii,,,,,"Weske & Terborgh, 1974","<p><em>Kleinothraupis parodii </em>(del Hoyo and Collar 2016) was previously placed in the genus <em>Hemispingus </em>following SACC (2005 &amp; updates); Sibley &amp; Monroe (1990, 1993); Stotz et al. (1996).</p>  <p>&#160;</p>"
22710101,Phoenicurus bicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Phoenicurus,bicolor,,,,,"(Ogilvie-Grant, 1894)","<p><em>Phoenicurus bicolor </em>(del Hoyo and Collar 2016) was previously placed in the genus <em>Rhyacornis </em>following Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
22698246,Puffinus opisthomelas,ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,opisthomelas,,,,,"Coues, 1864",
22684795,Cacatua haematuropygia,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Cacatua,haematuropygia,,,,,"(Müller, 1776)","Birds of Polillo, supposedly larger, occasionally separated as subspecies <em>mcgregori</em>, but doubtfully valid. Monotypic."
